,Unnamed: 0,location,state,checking_amt,duration,credit_history,purpose,credit_amount,savings,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,foreign_worker,class,application_date,works_outside_US,kmeans_labels
0,0,"Lehigh, PA",Pennsylvania,-2589.19,6.0,'critical/other existing credit',radio/tv,3234,0.0,>=7,0,'male single',none,4,'real estate',67,none,own,2,skilled,1,no,Bad,May-07-1994,no,2
1,1,"Mifflin, PA",Pennsylvania,53.51,48.0,'existing paid',radio/tv,5951,2.52,1<=X<4,2,'female div/dep/mar',none,2,Other,22,none,own,1,skilled,1,no,Bad,May-08-1994,no,2
2,2,"Northampton, PA",Pennsylvania,0.0,12.0,'critical/other existing credit',education,2096,0.0,4<=X<7,2,'male single',Unknown,0,'real estate',49,none,Other,1,'unskilled resident',2,no,Bad,5/9/1994,no,0
3,3,"Northampton, PA",Pennsylvania,-4695.81,42.0,'existing paid',furniture/equipment,7882,92.15,4<=X<7,2,'male single',guarantor,4,'life insurance',45,none,'for free',1,skilled,2,no,Bad,5/10/1994,no,1
4,4,"Westmoreland, PA",Pennsylvania,-9540.2,24.0,'delayed previously',Unknown,4870,39.81,1<=X<4,3,'male single',none,4,'no known property',53,none,'for free',2,skilled,2,no,Good,5/11/1994,no,2
5,5,"Westmoreland, PA",Pennsylvania,0.0,36.0,'existing paid',education,9055,0.0,1<=X<4,0,'male single',none,4,'no known property',35,none,'for free',1,'unskilled resident',2,yes,Bad,5/12/1994,yes,1
6,6,"Philadelphia, PA",Pennsylvania,0.0,24.0,'existing paid',Unknown,2835,0.0,>=7,3,'male single',none,4,'life insurance',31,none,Other,1,skilled,1,no,Good,5/13/1994,no,2
7,7,"Allegheny, PA",Pennsylvania,38.12,36.0,no credit history,'used car',6948,20.69,1<=X<4,2,'male single',none,2,car,35,none,Other,1,'high qualif/self emp/mgmt',Unknown,yes,Bad,5/14/1994,yes,1
8,8,"Allegheny, PA",Pennsylvania,0.0,12.0,'existing paid',radio/tv,3059,0.0,Unknown,2,'male div/sep',none,4,'real estate',61,none,own,0,'unskilled resident',1,yes,Good,5/15/1994,yes,2
9,9,"Providence, RI",Rhodes Island,101.81,30.0,'critical/other existing credit','new car',5234,85.64,unemployed,4,'male mar/wid',none,2,car,28,none,own,2,'high qualif/self emp/mgmt',1,no,Bad,5/16/1994,no,2
10,10,"Aiken, SC",South Carolina,130.75,12.0,'existing paid','new car',1295,99.76,<1,3,'female div/dep/mar',none,0,car,31,Other,rent,1,skilled,1,yes,Bad,5/17/1994,yes,0
11,11,"Anderson, SC",South Carolina,-1950.83,48.0,'existing paid',business,4308,69.51,<1,3,'female div/dep/mar',none,4,'life insurance',24,none,rent,0,skilled,Unknown,Unknown,Good,5/18/1994,Unknown,2
12,12,"Anderson, SC",South Carolina,15.12,12.0,'existing paid',radio/tv,1567,89.2,Unknown,1,'female div/dep/mar',none,1,car,22,none,own,1,skilled,1,Unknown,Bad,5/19/1994,Unknown,0
